GPU Times, time.time(), clock_realtime
696909255505,1674351777.342850,1674351777.342861
696909286353,1674351777.373583,1674351777.373592
696909317201,1674351777.404324,1674351777.404334
696909348049,1674351777.435169,1674351777.435179
696909378896,1674351777.468610,1674351777.468620
696909409744,1674351777.496989,1674351777.497000
696909440592,1674351777.527697,1674351777.527708
696909471440,1674351777.558563,1674351777.558573
696909502287,1674351777.589454,1674351777.589464
696909533135,1674351777.622737,1674351777.622747
696909563983,1674351777.651387,1674351777.651397
696909594830,1674351777.681960,1674351777.681970
696909625678,1674351777.712774,1674351777.712785
696909656526,1674351777.743638,1674351777.743649
696909687374,1674351777.776756,1674351777.776767
696909718222,1674351777.805265,1674351777.805275
696909749069,1674351777.836213,1674351777.836224
696909779917,1674351777.866756,1674351777.866766
696909810765,1674351777.897747,1674351777.897758
696909841613,1674351777.935424,1674351777.935435
